"name","routes","st_astext"
"95th St","R","POINT(581959.2606253301 4496579.370700002)"
"9th Ave","D,M","POINT(585009.334367595 4499996.888670681)"
"9th St","M,R","POINT(585473.4894523356 4502654.64653129)"
"Alabama Ave","J","POINT(592967.1277683998 4503468.895810358)"
"Atlantic Ave","B,Q","POINT(586465.6846689951 4504159.774222611)"
"Atlantic Ave","L","POINT(592717.3305150345 4503347.692922446)"
"Atlantic Ave","2,3,4,5","POINT(586409.6399919448 4504187.8371487865)"
"Ave H","Q","POINT(587803.2363562554 4498205.095782064)"
"Ave I","F","POINT(586584.6236611658 4497741.319439704)"
"Ave J","Q","POINT(587888.1735023975 4497674.87978729)"
"Ave M","Q","POINT(588014.6835590808 4496879.59246869)"
"Ave N","F","POINT(586793.0702882911 4496418.801619078)"
"Ave P","F","POINT(586885.275865306 4495839.297480523)"
"Ave U","Q","POINT(588347.0071936302 4494756.553917258)"
"Ave U","N","POINT(586397.2632879562 4494458.498256834)"
"Ave U","F","POINT(586872.8189993141 4494524.781380393)"
"Ave X","F","POINT(586804.575288685 4493762.3972068885)"
"Bay 50th St","D","POINT(586000.0845086036 4493583.547045738)"
"Bay Pky","D,M","POINT(585126.2715342436 4495058.721686458)"
"Bay Pky","N","POINT(586104.1180908895 4496320.146829474)"
"Bay Pky","F","POINT(586673.3873208847 4497183.063364249)"
"Bay Ridge Ave","R","POINT(582576.4287965811 4498655.841234582)"
"Bedford Ave","L","POINT(588131.1941471435 4507874.268134648)"
"Bedford Ave","G","POINT(588422.7021940363 4504830.1334604295)"
"Bergen St","F,G","POINT(585305.8749428939 4504472.830169925)"
"Bergen St","2,3","POINT(586613.3402700966 4503833.151600189)"
"Beverly Rd","Q","POINT(587550.6267033793 4499794.0975952605)"
"Beverly Rd","2,5","POINT(588863.6983232002 4499893.707190513)"
"Borough Hall","4,5","POINT(585253.7755904209 4505114.8917570375)"
"Borough Hall","2,3","POINT(585321.730054182 4505244.262776288)"
"Botanic Garden","S","POINT(587980.3541543356 4502742.082272526)"
"Brighton Beach","B,Q","POINT(587899.5964735015 4492390.1965406025)"
"Broadway","G","POINT(588680.5928102148 4506592.893876235)"
"Broadway Jct","J,Z","POINT(592497.6040536886 4503818.7265691385)"
"Broadway Jct","A,C","POINT(592830.4719449129 4503525.87385953)"
"Bushwick Ave","L","POINT(592522.1188311108 4504130.564396541)"
"Carroll St","F,G","POINT(584938.2479767665 4503745.195635941)"
"Central Ave","M","POINT(590808.6247172236 4505799.019375434)"
"Chauncey St","J,Z","POINT(592099.9025978548 4504101.530485294)"
"Church Ave","F","POINT(586293.6675439464 4499607.410126003)"
"Church Ave","B,Q","POINT(587644.3334594249 4500347.679169011)"
"Church Ave","2,5","POINT(588807.0740411695 4500523.262183592)"
"Clark St","2,3","POINT(585077.0068543168 4505657.91045789)"
"Classon Ave","G","POINT(587877.1455165396 4504741.722241279)"
"Cleveland St","J","POINT(594179.8933613856 4503794.730164514)"
"Clinton Ave","G","POINT(587300.0298954324 4504646.019702888)"
"Clinton Ave","C","POINT(587389.4129852875 4504109.410922476)"
"Cortelyou Rd","Q","POINT(587601.4910735295 4499466.472737966)"
"Court St","M,R","POINT(585296.8218339535 4505249.860626615)"
"Crescent St","J,Z","POINT(595285.887507881 4504260.5789212715)"
"Cypress Hills","J","POINT(595153.0801103334 4504872.701968519)"
"DeKalb Ave","L","POINT(591301.2986737695 4506496.034163316)"
"DeKalb Ave","B,M,Q,R","POINT(586060.2787523125 4504835.723661702)"
"Ditmas Ave","F","POINT(586417.967300109 4498802.762926729)"
"E 105th St","L","POINT(593080.1896420335 4500635.298103655)"
"Eastern Pky","2,3","POINT(587671.3806250722 4502825.147101264)"
"Euclid Ave","A,C","POINT(595339.5190497248 4503336.078549236)"
"Flatbush Ave","2,5","POINT(588994.999013519 4498531.935881087)"
"Flushing Ave","J,M","POINT(589385.6058027097 4506073.472596826)"
"Flushing Ave","G","POINT(588696.6061523732 4505960.083946261)"
"Fort Hamilton Pky","F","POINT(586586.4795843622 4500356.333001967)"
"Franklin Ave","C","POINT(588252.7766565636 4503885.274747595)"
"Franklin Ave","S","POINT(588255.1178923553 4503874.057285161)"
"Franklin Ave","2,3,4,5","POINT(588075.0900469788 4502717.170765628)"
"Ft Hamilton Pky","N","POINT(583997.899623973 4498410.570000029)"
"Ft Hamilton Pky","D,M","POINT(585038.7888631452 4499348.712938257)"
"Fulton St","G","POINT(586508.2067594875 4504518.980264279)"
"Gates St","J,Z","POINT(591082.5855686411 4504850.312777988)"
"Graham Ave","L","POINT(589160.3159276361 4507603.755717493)"
"Grand Army Plz","2,3","POINT(587010.6610079269 4503149.017935357)"
"Grand St","L","POINT(589477.2684915174 4507321.343533978)"
"Grant Ave","A","POINT(595874.8424857766 4503486.50608987)"
"Greenpoint Ave","G","POINT(588308.3281199073 4509333.173337675)"
"Halsey St","L","POINT(592513.1173001549 4505601.081408828)"
"Halsey St","J","POINT(591649.4237252432 4504434.178141181)"
"Hewes St","J,M","POINT(588447.1316264309 4506726.6146268835)"
"High St","A,C","POINT(585340.5718625298 4505849.684250107)"
"Hoyt St","2,3","POINT(585752.7692252327 4504901.87374392)"
"Hoyt St","A,C,G","POINT(585666.1687987031 4504730.391684676)"
"Jay St","A,C,F","POINT(585560.9860149901 4505000.571779941)"
"Jefferson St","L","POINT(590929.3569033094 4506792.117678897)"
"Junius St","3","POINT(592855.5583704391 4502000.988398157)"
"Kings Hwy","B,Q","POINT(588171.179818373 4495872.3744903)"
"Kings Hwy","N","POINT(586245.5402331323 4495430.43414932)"
"Kings Hwy","F","POINT(586956.9797740167 4495327.011026242)"
"Kingston Ave","3","POINT(589413.4198173514 4502596.017381826)"
"Kingston-Throop Aves","C","POINT(589527.0829502402 4503763.3416183395)"
"Knickerbocker Ave","M","POINT(591382.2936524655 4505884.799642599)"
"Kosciusko St","J","POINT(590525.7036876337 4505253.472414941)"
"Lafayette Ave","C","POINT(586501.2400525704 4504510.295468844)"
"Lawrence St","M,R","POINT(585652.6925720013 4505082.664298999)"
"Liberty Ave","C","POINT(593262.0887229226 4503198.595364077)"
"Livonia Ave","L","POINT(592938.3767804053 4502015.4315746315)"
"Lorimer St","L","POINT(588740.826589313 4507547.148231709)"
"Lorimer St","J,M","POINT(588881.5331831108 4506445.697217358)"
"Marcy Ave","J,M,Z","POINT(588026.347989665 4506910.589895224)"
"Metropolitan Ave","G","POINT(588569.3082856515 4507401.715032488)"
"Montrose Ave","L","POINT(589553.9931088304 4506844.663399804)"
"Morgan Ave","L","POINT(590228.891709709 4506707.354660446)"
"Myrtle Ave","L","POINT(591989.8844693959 4505976.478807934)"
"Myrtle Ave","J,M,Z","POINT(589955.547081127 4505664.824575202)"
"Myrtle Ave","G","POINT(588792.5083262535 4505388.769832852)"
"Nassau Ave","G","POINT(588609.2745080383 4508623.397284362)"
"Neck Rd","Q","POINT(588413.5986016353 4494318.954082544)"
"Neptune Ave","F","POINT(586780.3318146769 4492637.83046965)"
"Nevins St","2,3,4,5","POINT(586114.6490996698 4504702.753423779)"
"New Lots Ave","L","POINT(593045.1344896606 4501492.142919327)"
"New Lots Ave","3","POINT(594453.651826702 4502330.624592099)"
"New Utrecht Ave","N","POINT(584824.0441339001 4497706.943735298)"
"Newkirk Ave","B,Q","POINT(587701.0100036811 4498837.845870348)"
"Newkirk Ave","2,5","POINT(588920.228080148 4499324.510459531)"
"Norwood Ave","J,Z","POINT(594720.6355386821 4504023.658579564)"
"Nostrand Ave","A,C","POINT(588769.8983741465 4503808.8988245)"
"Nostrand Ave","3","POINT(588705.2038782146 4502637.6572256405)"
"Ocean Pkwy","Q","POINT(587304.9086906422 4492236.198995435)"
