"name","routes","st_astext"
"Elmhurst Ave","G,R,V","POINT(594475.2136526726 4510703.082862609)"
"Far Rockaway","A","POINT(605412.4548804507 4495633.387758411)"
"Forest Ave","M","POINT(592761.6497324689 4506555.404073081)"
"Fresh Pond Rd","M","POINT(593201.7208917286 4506706.7967566205)"
"Grand Ave","G,R,V","POINT(594780.4226052103 4510169.779320533)"
"Howard Beach","A","POINT(598874.701160333 4501731.545039307)"
"Hunters Point Ave","7","POINT(588703.1348941434 4510660.518615219)"
"Jamaica Center","E,J,Z","POINT(601381.4879689526 4506421.752378972)"
"Van Wyck","E","POINT(599951.3905552255 4506398.969913829)"
"Junction Blvd","7","POINT(595443.8308516619 4511526.536828071)"
"Lefferts Blvd","A","POINT(599356.2506650956 4504591.099714536)"
"Main St","7","POINT(598744.8516151712 4512725.769103492)"
"Metropolitan Ave","M","POINT(593827.9433739928 4507412.990161799)"
"Northern Blvd","G,R,V","POINT(592274.8409075903 4511944.112014866)"
"Parsons Blvd","F","POINT(601132.0992819373 4507000.161977876)"
"Queens Plz","E,G,R,V","POINT(589708.8107319145 4511430.314885047)"
"Queensboro Plz","N,W,7","POINT(589469.8628061804 4511607.870592082)"
"Rockaway Blvd","A","POINT(597715.8913715188 4503930.829479155)"
"Rockaway Park","A,S","POINT(598388.6658936929 4492816.303302006)"
"Jackson Hts-Roosevelt Ave","E,F,G,R,V","POINT(593558.482170402 4511243.583124991)"
"Seneca Ave","M","POINT(592277.0013752108 4506340.950872234)"
"Steinway St","G,R,V","POINT(591254.5866476254 4512534.26605032)"
"Sutphin Blvd","E,J,Z","POINT(600726.7617505627 4506196.326998319)"
"Sutphin Blvd","F","POINT(600551.6146931923 4506774.53166316)"
"Union Tpke","E,F","POINT(598756.2657202726 4507687.46638724)"
"Van Wyck Blvd","E,F","POINT(599627.3910952854 4507142.499064514)"
"Vernon Blvd","7","POINT(588321.3047758318 4510718.31464215)"
"Willets Point Blvd","7","POINT(597647.7842571186 4512241.360380346)"
"Woodhaven Blvd","J,Z","POINT(596981.2928993693 4505384.984106003)"
"Woodhaven Blvd","G,R,V","POINT(595386.5044288298 4509787.577316276)"
"Annadale",NULL,"POINT(569627.1513811675 4488102.542875943)"
"Atlantic",NULL,"POINT(563901.9011614178 4485248.57905553)"
"Bay Terrace",NULL,"POINT(573076.2493753303 4489889.5027767075)"
"Clifton",NULL,"POINT(578510.0278799984 4497215.265884865)"
"Dongan Hills",NULL,"POINT(576516.9530629535 4493532.817169075)"
"Eltingville",NULL,"POINT(570709.569856889 4488527.676261015)"
"Grant City",NULL,"POINT(575414.3506880957 4492443.987901723)"
"Grasmere",NULL,"POINT(577509.8654144458 4495129.030466676)"
"Great Kills",NULL,"POINT(571897.100701665 4489324.4368720865)"
"Huguenot",NULL,"POINT(568404.2400352543 4487292.176854923)"
"Jefferson Av",NULL,"POINT(575944.8358072317 4492958.25288456)"
"Nassau",NULL,"POINT(564500.8510479712 4485537.7942329915)"
"New Dorp",NULL,"POINT(574771.0160558939 4491823.156741973)"
"Oakwood Heights",NULL,"POINT(573954.7238676874 4490822.554936856)"
"Old Town",NULL,"POINT(577181.2563288261 4494316.668611829)"
"Pleasant Plains",NULL,"POINT(566327.1555864002 4486093.2926728595)"
"Prince's Bay",NULL,"POINT(567726.140128473 4486393.595146677)"
"Richmond Valley",NULL,"POINT(565312.0938333038 4485737.116306762)"
"St George",NULL,"POINT(578274.717435436 4499580.403354093)"
"Stapleton",NULL,"POINT(578209.5638084355 4497841.438178152)"
"Tompkinsville",NULL,"POINT(578242.7914637083 4498898.942275504)"
"Tottenville",NULL,"POINT(563292.1172580556 4484900.921251608)"
"Coney Island","D,F,N,Q","POINT(586246.1306210454 4492162.722835187)"
"World Trade Center","E","POINT(583652.3638330435 4507337.316220281)"
"Times Sq","1,2,3","POINT(585513.1770191242 4512170.062189559)"
"JFK Terminal 1",NULL,"POINT(602356.9561669775 4499829.669655836)"
"JFK Terminal 2-3",NULL,"POINT(602526.112504933 4499699.646828213)"
"JFK Terminal 4",NULL,"POINT(602985.6731458901 4499897.286220534)"
"JFK Terminal 5-6",NULL,"POINT(603245.7503829238 4500232.851042057)"
"JFK Terminal 7",NULL,"POINT(602880.326628096 4500459.602709553)"
"JFK Terminal 8",NULL,"POINT(602433.3533596311 4500363.8128236225)"
"Federal Circle",NULL,"POINT(600903.1428474564 4501689.113908147)"
"Long Term Parking",NULL,"POINT(599552.1129832724 4502056.229470152)"
"Howard Beach",NULL,"POINT(598862.0205107569 4501868.071868393)"
"Jamaica",NULL,"POINT(600689.9370847167 4506179.234498333)"
